loc_id;patinete_id;dt_registro;bairro;latitude;longitude;bateria_pct;em_uso
LOC-000001;PAT-0079;2024-12-15 18:00:00;Itaum;-26.32647571321684;-48.819733371842496;64;True
LOC-000002;PAT-0033;2024-02-28 21:00:00;Saguaçu;-26.28200347192939;-48.84422372210615;10;False
LOC-000003;PAT-0035;2024-08-27 19:00:00;América;-26.297467932821387;-48.85009048938985;88;False
LOC-000004;PAT-0019;2024-03-05 12:00:00;Iririú;-26.268238841521505;-48.84813566582853;31;False
LOC-000005;PAT-0006;2024-06-22 02:00:00;Paranaguamirim;-26.33890444476549;-48.81695250630974;77;True
LOC-000006;PAT-0030;2024-08-19 06:00:00;Iririú;-26.277180391661826;-48.855581187107624;77;False
LOC-000007;PAT-0012;2024-03-23 16:00:00;Iririú;-26.270895382664072;-48.86158364295656;57;True
LOC-000008;PAT-0046;2024-02-27 13:00:00;Jardim Iririú;-26.271882152665576;-48.858256014223166;23;False
LOC-000009;PAT-0068;2024-03-13 21:00:00;Glória;-26.31690384260726;-48.833388608504826;53;False
LOC-000010;PAT-0077;2024-11-10 02:00:00;Saguaçu;-26.292364620678843;-48.85343505536775;33;True
LOC-000011;PAT-0018;2024-01-28 23:00:00;Centro;-26.29896947139825;-48.84548749931353;68;True
LOC-000012;PAT-0043;2024-09-14 15:00:00;Itaum;-26.330829266447658;-48.81948303578592;64;False
LOC-000013;PAT-0067;2024-04-27 19:00:00;Anita Garibaldi;-26.309812913370273;-48.841786053740414;80;True
LOC-000014;PAT-0036;2024-03-20 05:00:00;Jardim Iririú;-26.272460194883095;-48.85682855274409;28;False
LOC-000015;PAT-0079;2024-02-20 18:00:00;Saguaçu;-26.282166820597464;-48.846019644949585;100;False
LOC-000016;PAT-0003;2024-10-08 07:00:00;Itaum;-26.325644155585707;-48.82497572347606;61;True
LOC-000017;PAT-0060;2024-07-22 18:00:00;Centro;-26.30482858900985;-48.84668904220554;13;False
LOC-000018;PAT-0025;2024-02-08 10:00:00;Anita Garibaldi;-26.310116369215013;-48.831474833336344;90;False
LOC-000019;PAT-0040;2024-08-14 06:00:00;Glória;-26.32069878521884;-48.829529028151335;15;True
LOC-000020;PAT-0020;2024-12-13 14:00:00;Anita Garibaldi;-26.305694538091874;-48.836672174781064;12;True
LOC-000021;PAT-0006;2024-08-10 15:00:00;Iririú;-26.27503409311177;-48.8578425846707;-5;False
LOC-000022;PAT-0030;2024-02-28 00:00:00;Jardim Iririú;-26.26253106065554;-48.858233698133695;35;False
LOC-000023;PAT-0013;2024-07-02 04:00:00;Centro;-26.299578367067678;-48.839174260827036;50;False
LOC-000024;PAT-0073;2024-10-16 16:00:00;Bucarein;-26.299431922858425;-48.839252082552356;20;True
LOC-000025;PAT-0057;2024-12-15 14:00:00;Bucarein;-26.302318648130278;-48.84880406554182;21;True
LOC-000026;PAT-0059;2024-09-06 00:00:00;Bucarein;-26.29950268587904;-48.842629040424285;75;False
LOC-000027;PAT-0061;2024-08-14 20:00:00;Anita Garibaldi;-26.306780521987598;-48.82874681389583;81;False
LOC-000028;PAT-0037;2024-05-29 11:00:00;Saguaçu;-26.28935787942689;-48.85448860118718;58;False
LOC-000029;PAT-0069;2024-10-31 23:00:00;Iririú;-26.274609018466276;-48.84717798860579;27;True
LOC-000030;PAT-0056;2024-11-12 23:00:00;Saguaçu;-26.28010245203263;-48.84081488970167;28;False
LOC-000031;PAT-0059;2024-02-11 11:00:00;Glória;-26.322344360397945;-48.83674760830832;89;True
LOC-000032;PAT-0047;2024-04-10 01:00:00;Iririú;-26.272724645807955;-48.848065386872804;9;True
LOC-000033;PAT-0079;2024-05-10 08:00:00;Anita Garibaldi;-26.31606989481522;-48.83718987855585;57;False
LOC-000034;PAT-0047;2024-06-11 01:00:00;Bucarein;-26.304251528874108;-48.836484653326785;74;True
LOC-000035;PAT-0015;2024-01-06 05:00:00;América;-26.286289852398514;-48.85230586659659;88;True
LOC-000036;PAT-0040;2024-01-04 04:00:00;Iririú;-26.281416502025458;-48.85594631819676;26;False
LOC-000037;PAT-0009;2024-11-26 12:00:00;Paranaguamirim;-26.343657897678728;-48.812852110544355;41;False
LOC-000038;PAT-0066;2024-09-23 07:00:00;Anita Garibaldi;-26.306318249248044;-48.83060836129159;30;False
LOC-000039;PAT-0055;2024-10-13 15:00:00;Paranaguamirim;-26.34245649140674;-48.82245937358483;25;True
LOC-000040;PAT-0035;2024-10-11 19:00:00;Itaum;-26.322431274407773;-48.818509504071564;34;False
LOC-000041;PAT-0067;2024-01-18 06:00:00;Bucarein;-26.290324250643618;-48.84701227209444;29;True
LOC-000042;PAT-0021;2024-06-07 20:00:00;Centro;-26.308107583672744;-48.848664807714194;92;False
LOC-000043;PAT-0026;2024-06-26 01:00:00;Glória;-26.327344348444;-48.832432501341515;35;False
LOC-000044;PAT-0001;2024-03-28 19:00:00;Centro;-26.301118987452714;-48.84669503455646;11;True
LOC-000045;PAT-0065;2024-06-10 16:00:00;Anita Garibaldi;-26.312784215957628;-48.83765381740998;23;False
LOC-000046;PAT-0067;2024-07-23 14:00:00;Saguaçu;-26.291387954496646;-48.854282222104786;32;True
LOC-000047;PAT-0017;2024-07-22 01:00:00;Itaum;-26.32667963489635;-48.825669940183595;83;False
LOC-000048;PAT-0078;2024-05-01 20:00:00;Itaum;-26.337501201454206;-48.82746499223102;80;False
LOC-000049;PAT-0041;2024-01-25 08:00:00;Anita Garibaldi;-26.306076852952124;-48.83547601463474;34;True
LOC-000050;PAT-0067;2024-01-05 19:00:00;Saguaçu;-26.29078155953419;-48.84072883688235;37;True
LOC-000051;PAT-0051;2024-04-15 08:00:00;Saguaçu;-26.290963009940054;-48.85414919642163;40;True
LOC-000052;PAT-0066;2024-07-27 21:00:00;América;-26.296189243232504;-48.84385976811195;53;False
LOC-000053;PAT-0036;2024-12-19 14:00:00;Jardim Iririú;-26.260635738264128;-48.856266215764286;7;True
LOC-000054;PAT-0014;2024-12-13 11:00:00;Anita Garibaldi;-26.30890929023594;-48.832800019153055;56;False
