patinete_id;modelo;dt_fabricacao;capacidade_bateria_wh;status;bairro_base
PAT-0001;Segway-E2;2023-08-05;187;ativo;Itaum
PAT-0002;Segway-E2;2022-03-08;275;ativo;Glória
PAT-0003;Lime-S;2023-09-18;187;ativo;Paranaguamirim
PAT-0004;Xiaomi-Pro2;2022-12-19;187;ativo;Anita Garibaldi
PAT-0005;Xiaomi-Pro2;2022-10-13;275;inativo;Bucarein
PAT-0006;Xiaomi-Pro2;2022-04-05;365;;Itaum
PAT-0007;Segway-E2;2023-08-03;187;inativo;Itaum
PAT-0008;Segway-E2;2021-02-05;275;ativo;Anita Garibaldi
PAT-0009;Bird-One;2023-03-26;187;ativo;Saguaçu
PAT-0010;Segway-E2;2023-07-20;187;ativo;Saguaçu
PAT-0011;Segway-E2;2021-07-13;365;ativo;Glória
PAT-0012;Segway-E2;2023-08-17;300;manutencao;Itaum
PAT-0013;Xiaomi-Pro2;2022-09-28;300;ativo;Paranaguamirim
PAT-0014;Xiaomi-Pro2;2021-11-24;275;ativo;Centro
PAT-0015;Segway-E2;2021-11-18;300;ativo;Glória
PAT-0016;Xiaomi-Pro2;2022-11-11;275;manutencao;Glória
PAT-0017;Bird-One;2021-05-14;300;ativo;Bucarein
PAT-0018;Xiaomi-Pro2;2021-08-01;365;ativo;Itaum
PAT-0019;Bird-One;2023-12-09;275;ativo;Saguaçu
PAT-0020;Lime-S;2023-03-17;300;ativo;Saguaçu
PAT-0021;Segway-E2;2021-11-10;365;manutencao;Iririú
PAT-0022;Xiaomi-Pro2;2023-09-20;300;ativo;Jardim Iririú
PAT-0023;Bird-One;2021-03-12;187;;Jardim Iririú
PAT-0024;Lime-S;2021-09-25;187;ativo;Jardim Iririú
PAT-0025;Lime-S;2023-01-20;365;ativo;Bucarein
PAT-0026;Xiaomi-Pro2;2022-08-01;187;manutencao;Paranaguamirim
PAT-0027;Xiaomi-Pro2;2021-06-27;187;ativo;Jardim Iririú
PAT-0028;Lime-S;2022-04-02;275;ativo;Anita Garibaldi
PAT-0029;Segway-E2;2021-10-03;300;ativo;América
PAT-0030;Segway-E2;2021-12-16;275;ativo;Glória
PAT-0031;Bird-One;2021-09-25;300;ativo;Paranaguamirim
PAT-0032;Segway-E2;2021-03-22;187;ativo;Saguaçu
PAT-0033;Lime-S;2022-09-06;275;manutencao;Iririú
PAT-0034;Lime-S;2022-09-28;300;ativo;América
PAT-0035;Lime-S;2023-07-07;300;ativo;Bucarein
PAT-0036;Segway-E2;2023-12-23;275;ativo;Glória
PAT-0037;Bird-One;2021-12-10;365;ativo;Bucarein
PAT-0038;Segway-E2;2022-11-21;300;ativo;Bucarein
PAT-0039;Bird-One;2022-08-17;187;inativo;Anita Garibaldi
PAT-0040;Segway-E2;2022-02-08;300;manutencao;Centro
PAT-0041;Lime-S;2021-02-11;187;inativo;Centro
PAT-0042;Lime-S;2021-10-18;275;ativo;Bucarein
PAT-0043;Xiaomi-Pro2;2021-10-08;300;ativo;Jardim Iririú
PAT-0044;Segway-E2;2021-02-23;187;ativo;Saguaçu
PAT-0045;Segway-E2;2023-01-08;187;ativo;América
PAT-0046;Xiaomi-Pro2;2021-01-28;275;ativo;Jardim Iririú
PAT-0047;Lime-S;2022-02-17;300;inativo;Itaum
PAT-0048;Segway-E2;2021-05-22;300;;Saguaçu
PAT-0049;Xiaomi-Pro2;2022-04-18;275;ativo;Bucarein
