manutencao_id;patinete_id;tipo_problema;dt_inicio;dt_fim;duracao_horas;custo_r$;tecnico;resolvido
MAN-00001;PAT-0029;Freio;2024-01-07 11:00:00;2024-01-07 20:00:00;9;26.35;TEC-08;True
MAN-00002;PAT-0032;Estrutura;2024-06-01 15:00:00;2024-06-01 17:00:00;2;244.62;TEC-05;True
MAN-00003;PAT-0056;Tela;2024-02-29 11:00:00;2024-03-02 13:00:00;50;26.48;TEC-05;True
MAN-00004;PAT-0016;Vandalismo;2024-02-24 15:00:00;2024-02-25 15:00:00;24;248.83;TEC-07;True
MAN-00005;PAT-0013;Tela;2024-02-20 17:00:00;2024-02-22 04:00:00;35;331.15;TEC-06;True
MAN-00006;PAT-0032;Pneu;2024-08-26 16:00:00;2024-08-27 04:00:00;12;328.54;TEC-04;False
MAN-00007;PAT-0058;Vandalismo;2024-07-31 08:00:00;2024-08-01 11:00:00;27;180.81;TEC-02;False
MAN-00008;PAT-0011;Tela;2024-02-23 14:00:00;2024-02-26 00:00:00;58;161.77;TEC-07;False
MAN-00009;PAT-0013;Freio;2024-03-20 13:00:00;2024-03-22 09:00:00;44;207.97;TEC-01;True
MAN-00010;PAT-0067;Bateria;2024-12-16 17:00:00;2024-12-17 06:00:00;13;234.23;TEC-08;True
MAN-00011;PAT-0011;Pneu;2024-01-27 16:00:00;2024-01-28 09:00:00;17;;TEC-08;True
MAN-00012;PAT-0041;Vandalismo;2024-05-12 09:00:00;2024-05-13 09:00:00;24;78.46;TEC-01;False
MAN-00013;PAT-0012;Tela;2024-10-24 12:00:00;2024-10-26 15:00:00;51;332.59;TEC-01;False
MAN-00014;PAT-0078;Freio;2024-11-21 15:00:00;2024-11-24 01:00:00;58;123.03;TEC-05;True
MAN-00015;PAT-0072;Tela;2024-09-25 13:00:00;2024-09-25 23:00:00;10;124.19;TEC-01;True
MAN-00016;PAT-0048;Estrutura;2024-07-05 08:00:00;2024-07-06 14:00:00;30;207.2;TEC-04;True
MAN-00017;PAT-0034;Estrutura;2024-11-17 09:00:00;2024-11-17 22:00:00;13;289.58;TEC-01;True
MAN-00018;PAT-0043;Bateria;2024-02-09 11:00:00;2024-02-12 01:00:00;62;26.02;TEC-05;True
MAN-00019;PAT-0065;Bateria;2024-08-12 13:00:00;2024-08-14 13:00:00;48;325.49;TEC-06;True
