viagem_id;patinete_id;usuario_id;bairro_origem;bairro_destino;lat_origem;lon_origem;lat_destino;lon_destino;dt_inicio;dt_fim;duracao_min;distancia_km;valor_cobrado;bateria_inicio
VGM-000001;PAT-0011;USR-00163;Saguaçu;Paranaguamirim;-26.286254598811528;-48.85038294316264;-26.339280041217165;-48.81351743045922;2024-08-18 07:55:00;2024-08-18 07:45:00;25;2.0;4.58;64
VGM-000002;PAT-0043;USR-00300;Anita Garibaldi;Paranaguamirim;-26.3074928569359;-48.837530212009284;-26.336945676707;-48.81827613637895;2024-01-05 21:08:00;2024-01-05 21:23:00;15;2.3;4.72;56
VGM-000003;PAT-0058;USR-00272;Itaum;Bucarein;-26.327680060581883;-48.81593745419479;-26.295398390702097;-48.83827605436645;2024-07-15 22:41:00;2024-07-15 23:15:00;34;6.55;9.21;72
VGM-000004;PAT-0043;USR-00142;América;Jardim Iririú;-26.29001341515803;-48.8535045380015;-26.271461000953064;-48.85886883760931;2024-07-28 21:26:00;2024-07-28 21:57:00;31;4.21;7.05;75
VGM-000005;PAT-0015;USR-00062;Jardim Iririú;Jardim Iririú;-26.271439813595578;-48.86228050273871;-26.271507505302587;-48.86342796116443;2024-09-07 11:05:00;2024-09-07 11:44:00;39;1.11;3.73;51
VGM-000006;PAT-0004;USR-00001;Itaum;Glória;-26.333440054796636;-48.81740601737582;-26.32231825632255;-48.825376619425185;2024-01-16 13:18:00;2024-01-16 13:23:00;5;7.53;10.85;58
VGM-000007;PAT-0018;USR-00129;Glória;Glória;-26.324419163878318;-48.830502601575496;-26.32138925273659;-48.829816345366645;2024-05-20 13:34:00;2024-05-20 13:55:00;21;0.72;3.09;62
VGM-000008;PAT-0046;USR-00295;Jardim Iririú;América;-26.26433823854225;-48.857232894430446;-26.291915444185914;-48.855271015481286;2024-03-27 20:36:00;2024-03-27 21:10:00;34;6.78;8.68;53
VGM-000009;PAT-0071;USR-00294;Iririú;Saguaçu;-26.273988849882567;-48.85934633842435;-26.283203027831668;-48.84673167095585;2024-10-08 22:07:00;2024-10-08 22:46:00;39;0.9;3.32;57
VGM-000010;PAT-0030;USR-00095;Centro;Jardim Iririú;-26.30231927422204;-48.84632428806327;-26.272433195678342;-48.862468010929874;2024-02-28 14:49:00;2024-02-28 15:26:00;37;4.22;6.97;48
VGM-000011;PAT-0054;USR-00115;América;Iririú;-26.29579415505704;-48.85566386399817;-26.279653272957738;-48.85196306548122;2024-07-06 07:48:00;2024-07-06 08:19:00;31;3.92;7.18;59
